SK,Date_SK,Planning_Resource_SK,Type,PlannedHours,BillableHours,Planning_Project_SK,Planning_Project_Task_SK,Planning_Department_SK
9152,20230109,144,Approved,8,8,514,3031,4
9270,20230110,144,Approved,8,8,514,3031,4
9382,20230111,144,Approved,8,8,514,3031,4
9490,20230112,144,Approved,8,8,514,3031,4
9548,20230113,68,Approved,8,8,514,3031,4
9651,20230116,63,Approved,8,8,514,3031,4
9769,20230117,63,Approved,8,8,514,3031,4
9880,20230118,63,Approved,8,8,514,3031,4
9986,20230119,66,Approved,8,8,514,3031,4
10082,20230120,63,Approved,8,8,514,3031,4
10344,20230124,144,Approved,8,8,514,3031,4
10462,20230125,144,Approved,8,8,514,3031,4
10630,20230127,68,Approved,8,8,514,3031,4
10724,20230130,68,Approved,8,8,514,3031,4
10843,20230131,68,Approved,8,8,514,3031,4
10961,20230201,68,Approved,8,8,514,3031,4
11091,20230202,68,Approved,8,8,514,3031,4
11234,20230203,68,Approved,8,8,514,3031,4
11422,20230206,144,Approved,8,8,514,3031,4
11541,20230207,144,Approved,8,8,514,3031,4
11662,20230208,144,Approved,8,8,514,3031,4
11777,20230209,144,Approved,8,8,514,3031,4
11880,20230210,144,Approved,8,8,514,3031,4
12647,20230220,66,Approved,8,8,514,3031,4
12763,20230221,66,Approved,8,8,514,3031,4
12811,20230221,144,Approved,8,8,514,3031,4
12875,20230222,66,Approved,8,8,514,3031,4
12974,20230223,66,Approved,8,8,514,3031,4
13182,20230227,68,Approved,8,8,514,3031,4
13302,20230228,68,Approved,8,8,514,3031,4
13422,20230301,68,Approved,8,8,514,3031,4
13539,20230302,68,Approved,8,8,514,3031,4
13667,20230303,68,Approved,8,8,514,3031,4
13911,20230307,68,Approved,8,8,514,3031,4
14322,20230313,144,Approved,8,8,514,3031,4
14425,20230314,144,Approved,8,8,514,3031,4
14615,20230316,144,Approved,8,8,514,3031,4
14778,20230317,144,Approved,8,8,514,3031,4
14922,20230320,63,Approved,8,8,514,3031,4
15017,20230321,63,Approved,8,8,514,3031,4
15104,20230322,63,Approved,8,8,514,3031,4
15183,20230323,63,Approved,8,8,514,3031,4
15264,20230324,63,Approved,8,8,514,3031,4
15849,20230403,68,Approved,8,8,514,3031,4
15928,20230404,68,Approved,8,8,514,3031,4
16005,20230405,68,Approved,8,8,514,3031,4
16076,20230406,68,Approved,8,8,514,3031,4
16130,20230407,68,Approved,8,8,514,3031,4
16225,20230411,144,Approved,8,8,514,3031,4
16301,20230412,144,Approved,8,8,514,3031,4
16368,20230413,144,Approved,8,8,514,3031,4
16475,20230414,144,Approved,8,8,514,3031,4
17271,20230502,68,Approved,8,8,514,3031,4
17340,20230503,68,Approved,8,8,514,3031,4
17409,20230504,68,Approved,8,8,514,3031,4
17456,20230505,68,Approved,8,8,514,3031,4
17890,20230515,66,Approved,8,8,514,3031,4
17955,20230516,66,Approved,8,8,514,3031,4
18113,20230522,144,Approved,8,8,514,3031,4
18181,20230523,144,Approved,8,8,514,3031,4
18246,20230524,144,Approved,8,8,514,3031,4
18289,20230525,68,Approved,8,8,514,3031,4
18309,20230525,144,Approved,8,8,514,3031,4
18484,20230526,144,Approved,8,8,514,3031,4
18769,20230605,63,Approved,8,8,514,3031,4
18833,20230606,63,Approved,8,8,514,3031,4
18893,20230607,63,Approved,8,8,514,3031,4
18959,20230608,66,Approved,8,8,514,3031,4
19053,20230609,63,Approved,8,8,514,3031,4
19161,20230612,68,Approved,8,8,514,3031,4
19220,20230613,68,Approved,8,8,514,3031,4
19281,20230614,68,Approved,8,8,514,3031,4
19340,20230615,68,Approved,8,8,514,3031,4
19386,20230616,68,Approved,8,8,514,3031,4
19806,20230626,144,Approved,8,8,514,3031,4
19866,20230627,144,Approved,8,8,514,3031,4
19921,20230628,144,Approved,8,8,514,3031,4
19977,20230629,144,Approved,8,8,514,3031,4
20014,20230630,144,Approved,8,8,514,3031,4
20043,20230703,68,Approved,8,8,514,3031,4
20091,20230704,68,Approved,8,8,514,3031,4
20134,20230705,68,Approved,8,8,514,3031,4
20182,20230706,68,Approved,8,8,514,3031,4
20259,20230707,68,Approved,8,8,514,3031,4
20712,20230720,144,Approved,8,8,514,3031,4
8666,20230102,16,Approved,8,8,514,3031,2
8682,20230102,59,Approved,8,8,514,3031,12
8727,20230102,162,Approved,8,8,514,3031,20
8736,20230103,16,Approved,8,8,514,3031,2
8752,20230103,44,Approved,8,8,514,3031,21
8760,20230103,57,Approved,8,8,514,3031,3
8846,20230104,57,Approved,8,8,514,3031,3
8848,20230104,61,Approved,8,8,514,3031,3
8899,20230104,170,Approved,8,8,514,3031,16
8935,20230105,61,Approved,8,8,514,3031,3
8987,20230105,162,Approved,8,8,514,3031,20
8997,20230106,16,Approved,8,8,514,3031,2
9019,20230106,61,Approved,8,8,514,3031,3
9065,20230106,162,Approved,8,8,514,3031,20
9095,20230109,45,Approved,8,8,514,3031,21
9165,20230109,164,Approved,8,8,514,3031,12
9202,20230110,45,Approved,8,8,514,3031,21
9285,20230110,170,Approved,8,8,514,3031,16
9319,20230111,45,Approved,8,8,514,3031,21
9397,20230111,170,Approved,8,8,514,3031,16
9429,20230112,45,Approved,8,8,514,3031,21
9508,20230112,170,Approved,8,8,514,3031,16
9533,20230113,45,Approved,8,8,514,3031,21
9603,20230113,170,Approved,8,8,514,3031,16
9608,20230116,4,Approved,8,8,514,3031,2
9613,20230116,14,Approved,8,8,514,3031,2
9751,20230117,44,Approved,8,8,514,3031,21
9758,20230117,49,Approved,8,8,514,3031,22
9841,20230118,14,Approved,8,8,514,3031,2
9870,20230118,49,Approved,8,8,514,3031,22
9948,20230119,14,Approved,8,8,514,3031,2
9972,20230119,49,Approved,8,8,514,3031,22
10052,20230120,14,Approved,8,8,514,3031,2
10073,20230120,49,Approved,8,8,514,3031,22
10143,20230123,16,Approved,8,8,514,3031,2
10164,20230123,43,Approved,8,8,514,3031,21
10212,20230123,115,Approved,8,8,514,3031,20
10255,20230124,16,Approved,8,8,514,3031,2
10359,20230124,170,Approved,8,8,514,3031,16
10370,20230125,16,Approved,8,8,514,3031,2
10446,20230125,115,Approved,8,8,514,3031,20
10507,20230126,45,Approved,8,8,514,3031,21
10590,20230126,170,Approved,8,8,514,3031,16
10617,20230127,44,Approved,8,8,514,3031,21
10681,20230127,170,Approved,8,8,514,3031,16
10717,20230130,58,Approved,8,8,514,3031,3
10750,20230130,115,Approved,8,8,514,3031,20
10835,20230131,58,Approved,8,8,514,3031,3
10869,20230131,115,Approved,8,8,514,3031,20
10937,20230201,35,Approved,8,8,514,3031,20
10955,20230201,58,Approved,8,8,514,3031,3
11062,20230202,35,Approved,8,8,514,3031,20
11149,20230202,170,Approved,8,8,514,3031,16
11219,20230203,58,Approved,8,8,514,3031,3
11223,20230203,60,Approved,8,8,514,3031,3
11366,20230206,59,Approved,8,8,514,3031,12
11434,20230206,162,Approved,8,8,514,3031,20
11491,20230207,59,Approved,8,8,514,3031,12
11559,20230207,170,Approved,8,8,514,3031,16
11610,20230208,59,Approved,8,8,514,3031,12
11679,20230208,170,Approved,8,8,514,3031,16
11796,20230209,170,Approved,8,8,514,3031,16
11837,20230210,59,Approved,8,8,514,3031,12
11897,20230210,170,Approved,8,8,514,3031,16
11908,20230213,16,Approved,8,8,514,3031,2
12008,20230213,162,Approved,8,8,514,3031,20
12012,20230213,170,Approved,8,8,514,3031,16
12052,20230214,43,Approved,8,8,514,3031,21
12136,20230214,170,Approved,8,8,514,3031,16
12176,20230215,45,Approved,8,8,514,3031,21
12178,20230215,47,Approved,8,8,514,3031,22
12251,20230215,162,Approved,8,8,514,3031,20
12267,20230216,16,Approved,8,8,514,3031,2
12293,20230216,44,Approved,8,8,514,3031,21
12325,20230216,81,Approved,8,8,514,3031,12
12395,20230217,16,Approved,8,8,514,3031,2
12505,20230217,81,Approved,8,8,514,3031,12
12593,20230217,170,Approved,8,8,514,3031,16
12632,20230220,39,Approved,8,8,514,3031,21
12642,20230220,58,Approved,8,8,514,3031,3
12856,20230222,39,Approved,8,8,514,3031,21
12869,20230222,58,Approved,8,8,514,3031,3
12970,20230223,61,Approved,8,8,514,3031,3
13033,20230223,170,Approved,8,8,514,3031,16
13045,20230224,16,Approved,8,8,514,3031,2
13061,20230224,44,Approved,8,8,514,3031,21
13069,20230224,58,Approved,8,8,514,3031,3
13191,20230227,82,Approved,8,8,514,3031,12
13313,20230228,82,Approved,8,8,514,3031,12
13433,20230301,82,Approved,8,8,514,3031,12
13518,20230302,45,Approved,8,8,514,3031,21
13549,20230302,82,Approved,8,8,514,3031,12
13642,20230303,45,Approved,8,8,514,3031,21
13687,20230303,82,Approved,8,8,514,3031,12
13760,20230306,14,Approved,8,8,514,3031,2
13788,20230306,48,Approved,8,8,514,3031,22
13794,20230306,58,Approved,8,8,514,3031,3
13896,20230307,48,Approved,8,8,514,3031,22
13904,20230307,58,Approved,8,8,514,3031,3
14000,20230308,48,Approved,8,8,514,3031,22
14008,20230308,58,Approved,8,8,514,3031,3
14066,20230308,170,Approved,8,8,514,3031,16
14078,20230309,15,Approved,8,8,514,3031,2
